Regression,Ologit Group,Variable (concept),Reference question (latest available wording),2013 column,2013 answers,2013 note,2014 column,2014 answers,2014 note,2015 column,2015 answers,2015 note,2016 column,2016 answers,2016 note,2017 column,2017 answers,2017 note
Main,mat (materialism),NE_MUTLU,B11 Sizi hayatta en çok ne mutlu eder?,b11,2 Başarı; 3 İş; 4 Sağlık; 5 Sevgi; 6 Para; 98 Diğer,,b11,2 Başarı; 3 İş; 4 Sağlık; 5 Sevgi; 6 Para; 98 Diğer,,NE_MUTLU,2 Başarı; 3 İş; 4 Sağlık; 5 Sevgi; 6 Para; 98 Diğer,,NE_MUTLU,2 Başarı; 3 İş; 4 Sağlık; 5 Sevgi; 6 Para; 98 Diğer,,NE_MUTLU,2 Başarı; 3 İş; 4 Sağlık; 5 Sevgi; 6 Para; 98 Diğer,
Main,sw (cantril ladder),UMUT_BASAMAK,"B41 Türkiye'de yaşayan insanların refah düzeyini ""0"" basamağı en düşük ""10"" basamağı en yüksek"" düzey olarak düşündüğünüzde, kendinizi hangi düzeyde görüyorsunuz? DİKKAT! REFAH DÜZEYİ KARTINI GÖSTERİNİZ.",b41,1 Düzey 0; 2 Düzey 1; 3 Düzey 2; 4 Düzey 3; 5 Düzey 4; 6 Düzey 5; 7 Düzey 6; 8 Düzey 7; 9 Düzey 8; 10 Düzey 9; 11 Düzey 10,,b41,1 Düzey 0; 2 Düzey 1; 3 Düzey 2; 4 Düzey 3; 5 Düzey 4; 6 Düzey 5; 7 Düzey 6; 8 Düzey 7; 9 Düzey 8; 10 Düzey 9; 11 Düzey 10,,UMUT_BASAMAK,1 Düzey 0; 2 Düzey 1; 3 Düzey 2; 4 Düzey 3; 5 Düzey 4; 6 Düzey 5; 7 Düzey 6; 8 Düzey 7; 9 Düzey 8; 10 Düzey 9; 11 Düzey 10,,UMUT_BASAMAK,0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10,,UMUT_BASAMAK,0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10,
Main,hhi_lvl (income tier),GELIR_GRUP,"H19.A Hanenizin aylık toplam net geliri (maaş, ücret, kira, faiz, müteşebbis vb. gelirleri) şimdi okuyacağım gelir gruplarından hangisine girmektedir?",h19,1 0 - 1080 TL; 2 1081 – 1 550 TL; 3 1 551 – 2 170 TL; 4 2 171 – 3 180 TL; 5 3 181 + TL,,h19,1 0 - 1 1179 TL; 2 1180 – 1 692 TL; 3 1 693 – 2 369 TL; 4 2 370 – 3 471 TL; 5 3 472 + TL,,GELIR_GRUP,1 0 - 1 264 TL; 2 1 265 - 1 814 TL; 3 1 815 - 2 540 TL; 4 2 541 - 3 721 TL; 5 3 722+ TL,,GELIR_GRUP,1   0 - 1 361 TL; 2   1 362 - 1 953 TL; 3   1 954 - 2 734 TL; 4   2 735 - 4 005 TL; 5   4 006+ TL,,GELIR_GRUP,1   0 - 1 509 TL; 2   1 510 TL - 2 166 TL; 3   2 167 TL - 3 032 TL; 4   3 033 - 4 442 TL; 5   4 443+ TL,
Main,hhi_suf (income sufficiency),OLCEK_GELIR_KARSILAMA,H20 Bu gelirle hanenizin temel ihtiyaçlarını hangi düzeyde karşılayabiliyorsunuz?,h20,1 Çok kolay; 2 Kolay; 3 Orta; 4 Zor; 5 Çok zor,,h20,1 Çok kolay; 2 Kolay; 3 Orta; 4 Zor; 5 Çok zor,,OLCEK_GELIR_KARSILAMA,1 Çok kolay; 2 Kolay; 3 Orta; 4 Zor; 5 Çok zor,,OLCEK_GELIR_KARSILAMA,1 Çok kolay; 2 Kolay; 3 Orta; 4 Zor; 5 Çok zor,,OLCEK_GELIR_KARSILAMA,1 Çok kolay; 2 Kolay; 3 Orta; 4 Zor; 5 Çok zor,
Main,sh (subjective health),OLCEK_MEMNUNIYET_SAGLIK,B12.1 Sağlığınızdan memnun musunuz?,b12_1,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil,,b12_1,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil,,OLCEK_MEMNUNIYET_SAGLIK,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil,,OLCEK_MEMNUNIYET_SAGLIK,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil,,OLCEK_MEMNUNIYET_SAGLIK,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil,
Main,eds (education satisfaction),OLCEK_MEMNUNIYET_EGITIM,B12.3 Şimdiye kadar almış olduğunuz eğitimden memnun musunuz?,b12_3,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil; 6 Eğitim almadı,,b12_3,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil; 6 Eğitim almadı,,OLCEK_MEMNUNIYET_EGITIM,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil; 6 Eğitim almadı,,OLCEK_MEMNUNIYET_EGITIM,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil; 6 Eğitim almadı,,OLCEK_MEMNUNIYET_EGITIM,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil; 6 Eğitim almadı,
Main,hos (housing satisfaction),OLCEK_MEMNUNIYET_KONUT,B12.4 Oturduğunuz konuttan memnun musunuz?,b12_4,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil,,b12_4,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil,,OLCEK_MEMNUNIYET_KONUT,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil,,OLCEK_MEMNUNIYET_KONUT,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil,,OLCEK_MEMNUNIYET_KONUT,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil,
Main,dis (neighbourhood satisfaction),OLCEK_MEMNUNIYET_SEMT,B12.5 Oturduğunuz semtten veya mahalleden memnun musunuz?,b12_5,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil,,b12_5,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil,,OLCEK_MEMNUNIYET_SEMT,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil,,OLCEK_MEMNUNIYET_SEMT,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil,,OLCEK_MEMNUNIYET_SEMT,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil,
Main,hhi_sat (income satisfaction),OLCEK_MEMNUNIYET_GELIR,B12.8 Aylık hanehalkı gelirinizden memnun musunuz?,b12_8,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil,,b12_8,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil,,OLCEK_MEMNUNIYET_GELIR,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil,,OLCEK_MEMNUNIYET_GELIR,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil,,OLCEK_MEMNUNIYET_GELIR,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil,
Main,frs (friends satisfaction),OLCEK_MEMNUNIYET_ARKADAS,B13.2 Arkadaşlarınızla ilişkilerinizden memnun musunuz?,b13_2,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil,,b13_2,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil,,OLCEK_MEMNUNIYET_ARKADAS,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil,,OLCEK_MEMNUNIYET_ARKADAS,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil,,OLCEK_MEMNUNIYET_ARKADAS,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil,
Main,nes (neighbours satisfaction),OLCEK_MEMNUNIYET_KOMSU,B13.3 Komşularınızla ilişkilerinizden memnun musunuz?,b13_3,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil,,b13_3,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil,,OLCEK_MEMNUNIYET_KOMSU,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil,,OLCEK_MEMNUNIYET_KOMSU,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil,,OLCEK_MEMNUNIYET_KOMSU,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil,
Main,sls (social life satisfaction),OLCEK_MEMNUNIYET_SOS_HAYAT,"B12.9 Sosyal hayatınızdan (eğlence, kültürel ve sportif faaliyetler gibi) memnun musunuz?",b12_9,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil,,b12_9,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil,,OLCEK_MEMNUNIYET_SOS_HAYAT,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil,,OLCEK_MEMNUNIYET_SOS_HAYAT,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil,,OLCEK_MEMNUNIYET_SOS_HAYAT,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil,
Main,tul (leisure/personal care satisfaction),OLCEK_MEMNUNIYET_KISISEL_BKM,B12.10 Kendinize ayırdığınız zamandan memnun musunuz?,b12_10,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil,,b12_10,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil,,OLCEK_MEMNUNIYET_KISISEL_BKM,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil,,OLCEK_MEMNUNIYET_KISISEL_BKM,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil,,OLCEK_MEMNUNIYET_KISISEL_BKM,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil,
Main,psh (safety at home),GUVEN_EV,B38 Evinizde yalnızken kendinizi ne kadar güvende hissediyorsunuz?,b38,1 Çok güvenli; 2 Güvenli; 3 Orta; 4 Güvensiz; 5 Çok güvensiz,,b38,1 Çok güvenli; 2 Güvenli; 3 Orta; 4 Güvensiz; 5 Çok güvensiz,,GUVEN_EV,1 Çok güvenli; 2 Güvenli; 3 Orta; 4 Güvensiz; 5 Çok güvensiz,,GUVEN_EV,1 Çok güvenli; 2 Güvenli; 3 Orta; 4 Güvensiz; 5 Çok güvensiz,,GUVEN_EV,1 Çok güvenli; 2 Güvenli; 3 Orta; 4 Güvensiz; 5 Çok güvensiz,
Main,pse (safety around home),GUVEN_CEVRE,"B39 Yaşadığınız çevrede, gece yalnız yürürken kendinizi ne kadar güvende hissediyorsunuz?",b39,1 Çok güvenli; 2 Güvenli; 3 Orta; 4 Güvensiz; 5 Çok güvensiz,,b39,1 Çok güvenli; 2 Güvenli; 3 Orta; 4 Güvensiz; 5 Çok güvensiz,,GUVEN_CEVRE,1 Çok güvenli; 2 Güvenli; 3 Orta; 4 Güvensiz; 5 Çok güvensiz,,GUVEN_CEVRE,1 Çok güvenli; 2 Güvenli; 3 Orta; 4 Güvensiz; 5 Çok güvensiz,,GUVEN_CEVRE,1 Çok güvenli; 2 Güvenli; 3 Orta; 4 Güvensiz; 5 Çok güvensiz,
Main,doh (degree of hope),UMUT,B40 Kendi geleceğinizden ne kadar umutlusunuz?,b40,1 Çok umutlu; 2 Umutlu; 3 Umutlu değil; 4 Hiç umutlu değil,,b40,1 Çok umutlu; 2 Umutlu; 3 Umutlu değil; 4 Hiç umutlu değil,,UMUT,1 Çok umutlu; 2 Umutlu; 3 Umutlu değil; 4 Hiç umutlu değil,,UMUT,1 Çok umutlu; 2 Umutlu; 3 Umutlu değil; 4 Hiç umutlu değil,,UMUT,1 Çok umutlu; 2 Umutlu; 3 Umutlu değil; 4 Hiç umutlu değil,
Main,fya (comparison to 5y ago),GECMIS_KARSILASTIRMA,B42 5 yıl öncesi ile karşılaştırdığınızda bugünkü durumunuzu (maddi veya manevi) nasıl görüyorsunuz?,b42,1 Gelişti; 2 Aynı seviyede kaldı; 3 Geriledi; 4 Fikri yok,,b42,1 Gelişti; 2 Aynı seviyede kaldı; 3 Geriledi; 4 Fikri yok,,GECMIS_KARSILASTIRMA,1 Gelişti; 2 Aynı seviyede kaldı; 3 Geriledi; 4 Fikri yok,,GECMIS_KARSILASTIRMA,1 Gelişti; 2 Aynı seviyede kaldı; 3 Geriledi; 4 Fikri yok,,GECMIS_KARSILASTIRMA,1 Gelişti; 2 Aynı seviyede kaldı; 3 Geriledi; 4 Fikri yok,
Main,fyl (expectation 5y later),GELECEK_KARSILASTIRMA,"B43 Gelecek 5 yıllık dönemi düşündüğünüzde, genel olarak durumunuzun nasıl olacağını tahmin ediyorsunuz?",b43,1 Gelişecek; 2 Aynı seviyede kalacak; 3 Gerileyecek; 4 Fikri yok,,b43,1 Gelişecek; 2 Aynı seviyede kalacak; 3 Gerileyecek; 4 Fikri yok,,GELECEK_KARSILASTIRMA,1 Gelişecek; 2 Aynı seviyede kalacak; 3 Gerileyecek; 4 Fikri yok,,GELECEK_KARSILASTIRMA,1 Gelişecek; 2 Aynı seviyede kalacak; 3 Gerileyecek; 4 Fikri yok,,GELECEK_KARSILASTIRMA,1 Gelişecek; 2 Aynı seviyede kalacak; 3 Gerileyecek; 4 Fikri yok,
Main,lyp (positive life events),ISE_GIRDI,"B48.1 Son bir yılda, işe girdim (iş arayanlar için)",b48_1,1 Evet; 2 Hayır; 3 İlgili değil,,b48_1,1 Evet; 2 Hayır; 3 İlgili değil,,ISE_GIRDI,1 Evet; 2 Hayır; 3 İlgili değil,,ISE_GIRDI,1 Evet; 2 Hayır; 3 İlgili değil,,ISE_GIRDI,1 Evet; 2 Hayır; 3 İlgili değil,
Main,lyp (positive life events),ISYERI_ACTI,"B48.2 Son bir yılda, Yeni iş yeri açtım",b48_2,1 Evet; 2 Hayır; 3 İlgili değil,,b48_2,1 Evet; 2 Hayır; 3 İlgili değil,,ISYERI_ACTI,1 Evet; 2 Hayır; 3 İlgili değil,,ISYERI_ACTI,1 Evet; 2 Hayır; 3 İlgili değil,,ISYERI_ACTI,1 Evet; 2 Hayır; 3 İlgili değil,
Main,lyp (positive life events),GELIRI_ARTTI,"B48.6 Son bir yılda, Gelirim arttı",b48_6,1 Evet; 2 Hayır; 3 İlgili değil,,b48_6,1 Evet; 2 Hayır; 3 İlgili değil,,GELIRI_ARTTI,1 Evet; 2 Hayır; 3 İlgili değil,,GELIRI_ARTTI,1 Evet; 2 Hayır; 3 İlgili değil,,GELIRI_ARTTI,1 Evet; 2 Hayır; 3 İlgili değil,
Main,lyp (positive life events),TASARRUF_YAPTI,"B48.8 Son bir yılda, Tasarruf yapmaya başladım",b48_8,1 Evet; 2 Hayır,,b48_8,1 Evet; 2 Hayır,,TASARRUF_YAPTI,1 Evet; 2 Hayır,,TASARRUF_YAPTI,1 Evet; 2 Hayır,,TASARRUF_YAPTI,1 Evet; 2 Hayır,
Main,lyp (positive life events),ARABA_ALDI,"B48.12 Son bir yılda, Araba aldım",b48_12,1 Evet; 2 Hayır,,b48_12,1 Evet; 2 Hayır,,ARABA_ALDI,1 Evet; 2 Hayır,,ARABA_ALDI,1 Evet; 2 Hayır,,ARABA_ALDI,1 Evet; 2 Hayır,
Main,lyp (positive life events),EV_ALDI,"B48.13 Son bir yılda, Ev, arsa, yazlık vb. aldım",b48_13,1 Evet; 2 Hayır,,b48_13,1 Evet; 2 Hayır,,EV_ALDI,1 Evet; 2 Hayır,,EV_ALDI,1 Evet; 2 Hayır,,EV_ALDI,1 Evet; 2 Hayır,
Main,lyp (positive life events),BORC_ODEDI,"B48.17 Son bir yılda, borçlarımı ödedim",b48_17,1 Evet; 2 Hayır; 3 İlgili değil,,b48_17,1 Evet; 2 Hayır; 3 İlgili değil,,BORC_ODEDI,1 Evet; 2 Hayır; 3 İlgili değil,,BORC_ODEDI,1 Evet; 2 Hayır; 3 İlgili değil,,BORC_ODEDI,1 Evet; 2 Hayır; 3 İlgili değil,
Main,lyn (negative life events),ISINI_KAYBETTI,"B48.3 Son bir yılda, İşimi kaybettim",b48_3,1 Evet; 2 Hayır; 3 İlgili değil,,b48_3,1 Evet; 2 Hayır; 3 İlgili değil,,ISINI_KAYBETTI,1 Evet; 2 Hayır; 3 İlgili değil,,ISINI_KAYBETTI,1 Evet; 2 Hayır; 3 İlgili değil,,ISINI_KAYBETTI,1 Evet; 2 Hayır; 3 İlgili değil,
